	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-09-14	5750.140913076836	19625.431771484265	17409.91651960207	6841.525566828521	12084.25388300604	79164.55035522001	3125.862449580407	3382.8265842564506	35054.25586664956	11309.360157184676	16406.32214895351	43957.59311418205	23624.35908716158	108481.7861145907	16511.76893747756	12660.525079977551	33514.49975943554	12559.672262512333	12407.925657236889	20953.316685350746	22871.54484345667	6620.770829091467	6802.99935054748	3353.0346660779314	5409.067305596975	15021.559999256133	21753.748112081583	19612.71115575369	8329.136647766421	10693.843841001435	8502.469233736627	107683.04463531716	13050.054437663288	7757.679603423883	19202.993394371697	13473.862692767474	14598.25138962335	13505.21622000514	48975.95592544362	12657.05952027298	19519.10275130403	12065.812070756945	21918.01983309738	22030.195735071055	11760.214521033535	17186.269326338446	4175.317048700833	9465.734120242176	97980.09758047943	12615.904097511338	50354.36219041929	12434.403433992116	8449.305907395319	11502.061967879281	11241.957209089856	11769.265668518861	11795.143996307372	87681.38314170034	10581.809057144668	10651.070628199877	11258.431974616993	8679.031248107553	10357.655896976421																																																	
2021-10-14	5754.479401709863	19479.01062341081	17084.973632174413	6418.2398035077285	11963.90854838429	76708.83955802296	3045.9412068360252	3169.6810670965774	31564.336786302203	10421.406863096114	16205.731623245645	37730.216770859864	22966.114535207926	105576.25354602607	15819.177305363519	12447.868427467183	32456.121555322683	11957.91434228497	12087.466613201175	20895.725618870987	21308.485111573013	7863.2698117936825	6190.17026519057	3110.9337160839127	5480.054070032802	14193.078793026765	22940.57015036528	19350.4985176928	9486.892296884154	12289.820357090775	8155.890460732029	106152.47396121144	13682.14105266372	7600.479573665836	17942.39488977656	12687.128363512555	14561.353006373383	13603.047364931233	46151.037299763324	12245.557075953095	18608.572815722026	12065.921568390433	23002.572387850574	22880.93954617417	11727.032380786935	17320.411714701768	4179.902391945274	9630.946897386162	97333.41405561272	12350.529196960228	50379.19575776827	12322.224055506747	8156.705973096984	11363.33103227159	11136.528945596	11406.984315990416	12019.505997803522	82315.54660324541	9977.274000616218	10603.79409843907	11003.951053099467	7847.579765555203	10211.107625242821																																																	
2021-11-12	5850.806721439076	18802.126739507017	17135.068477618042	6540.469388599302	12436.729071573518	82933.72979490258	2947.917521925548	3350.952342834981	33484.33553425636	10180.189657882149	15722.381916871844	36002.01875172461	21878.532533223406	106066.65933716466	17560.555259789136	13207.15273135587	32736.03111082151	12451.372291047259	12180.860783322627	21949.063182223137	21012.20529579406	7972.096263537317	5807.441559872754	3001.2013559025363	5068.521886851344	14819.161945857426	23163.860349450184	20264.53858685423	9312.427611776493	12507.191362295322	7937.091098733168	106037.60557054232	13898.116718836332	7829.835188140666	19769.68822116608	12751.944068493063	15638.612499405386	13481.673780463869	46370.38417388787	12666.886143950022	20268.228750025184	11925.263250313554	23752.981271539873	23796.78941676118	11591.899044529142	17795.32103415094	4258.80906624908	9529.997626756143	99631.10259171203	12887.378628983115	50430.03569421566	13038.719950782803	8313.763230183587	10770.956679502026	11781.755347027276	12320.238454811246	12119.147716763495	81936.10735394793	11629.256821286202	11928.4917072268	12620.122637248542	8303.330514707453	11062.963406137287	10282.789755170861	8702.183114495198																																															
2021-12-14	5906.4447483555605	18503.808315068898	16203.374035374756	6684.127276770923	11997.071377689617	83524.57713359113	2922.538862923985	3105.138118255697	34820.65074666394	9984.267635867514	15400.57345614002	37163.79896355122	22200.398281462796	107549.90148512347	16914.660859240357	13360.327201641257	28860.680835492876	12048.93805584247	11728.32265111465	21624.542337432667	20034.774350215266	7767.711443208757	5814.262929783239	2802.707962322558	4614.646645431969	14846.175117292867	22945.060719933594	20041.950496563575	9131.021140200522	11196.249737069931	7749.322596333289	106820.45576515331	13680.198267487696	7833.049375017927	19293.56387488561	13012.88223789789	14337.268704321981	14021.603613298841	47312.24174747089	12764.856114837203	20405.200881058874	12024.791204753697	22862.158628697696	22201.14397139297	11646.233916258585	17319.72555096651	4260.101988746897	9528.994709968001	98211.16594507756	13109.249172300966	50474.93448520558	13126.69775097846	7713.6379217537	10580.631879557772	11865.507409991109	12407.078150090803	11556.235394751482	84024.39760329899	11933.552718462186	11424.061018584182	11907.407506256732	9382.04964383376	10543.948496809819	9294.025500960877	8681.67340211462	10063.666666666666																																														
2022-01-14	6243.615777836978	18599.16003055771	16346.347956508169	6642.989691764659	12241.784215228887	81430.41063584737	2884.3858877513085	3111.731194529085	35451.605104601564	9477.38197356883	15574.874158519138	34272.273813915	23005.34292445142	105374.52888367212	14703.629676022734	13536.3927076643	26210.36445157071	12348.605354055895	11954.76364930216	22143.64051450308	19169.803015655125	8777.569807222233	5794.876918855412	2615.4009804029374	4574.964144860898	13943.721867126254	23179.643456235106	20300.728095519662	9308.333645348821	12741.6338232159	7339.015465813302	105959.10037909883	14923.363927888457	8020.389237415642	18946.9082566652	12912.09898063713	14085.774197404076	13414.442957783607	46989.26896863979	12218.59363671687	19722.06298379919	11870.341295669366	22144.06955579725	21936.02910975074	11529.381882008056	17924.536260539426	4284.184889579294	9588.055278061558	95760.47840360783	13137.040639936728	50526.011128648395	13241.542305874289	7449.038397702676	9699.257373960467	11964.93020045934	12094.63145544008	11056.760820683336	80393.95021638813	11995.345072639637	11798.28066565061	11222.168577052951	9794.801379930888	9507.938970553518	8349.562634712576	9177.952227276182	10336.438818148357	10217.198936271414		9762.0																																											
2022-02-14	6370.349211180794	16580.41779769909	16721.788403884722	6460.761875113265	12342.157794129238	75656.58995975737	2635.500619453002	2727.7824429748325	32615.918188496034	9026.228864219564	14327.36379956878	30091.09398755575	21599.073529597947	103317.3853856235	13330.443804281906	12708.102716036636	24420.083657701307	11851.111986562173	11669.666174940678	20986.051306306894	18096.025851451934	9743.607378272274	5594.08296919601	2642.153333286211	4784.611972672061	12210.079909217327	23436.2149720896	19739.97028247107	9494.886224112111	14402.625490699094	7424.647110044349	104473.387020494	15725.566663222991	7736.49662929244	17467.80138743689	12153.989895244526	13226.170977684775	12890.66924073394	44198.99162013614	11766.505255102678	18229.96979928201	11723.87871300238	18352.907417562696	18010.5717736401	11413.505193259742	17333.022894043963	4261.06576227146	9644.210888119804	91173.7446383606	12389.829452669677	50571.01326755954	12695.09290520594	7240.427822259513	8013.032227544303	11467.348323555758	11249.76939632971	9316.061453860551	75136.35184841239	10877.145455723086	10733.281529543554	10203.451832460698	9139.143370824357	9146.000186687357	7804.729501963176	8787.538574036513	11056.247354274099	10360.642403407937		8827.266705767352																																											
2022-03-14	5979.449166676373	15420.939672156515	13812.714770463577	6323.308062598706	13320.039482718636	72656.39898525222	2972.5878238701607	3148.6098853395197	30754.255759880783	9285.603657641846	13542.783822493742	31449.062931419325	22157.244419378396	103533.57632974771	13477.284749770371	12788.186153803696	23310.361976942666	10663.70587963862	10317.933291115474	21239.3422357609	17664.22174463597	10929.141058377754	5998.631290752293	2724.5030904897053	4748.621942947284	12530.502853698385	23086.50561223973	19199.850570565348	10275.212768120668	17300.353041173898	7199.734427059593	104724.60595850761	16498.26134707132	7549.1707324853105	16272.522898870038	11790.35403819998	12957.454994853888	12398.236113240207	42806.62177654884	11546.244836827298	16995.708160285183	12101.20931579099	17522.24819529502	16955.427290236563	11770.574796696446	17172.067756740165	4390.227379096078	9958.334225505401	90158.0763997827	12313.241301839647	50627.984787037916	12500.447697040196	5560.400666915215	7772.600925568495	11294.836617844863	10822.308245732866	10077.341121908012	75112.95680371036	10276.854511815856	9911.578526617162	9670.446332747775	8711.685417722209	10275.89120102	9065.481692235953	8851.178873209283	11776.116700162333	11261.121809548964	9473.612680865024	8993.504967753846	10851.05969967037																																										
2022-04-14	6285.427391582628	16257.651318900545	14529.461661424013	6505.149594701297	13194.671714310585	76139.09101383673	2855.8097850785043	3110.057249141918	31648.73790732095	9338.030840468842	14129.4526331167	30380.774764068476	23436.841419606735	99303.1910547705	13130.471525464625	13449.233217261572	24058.020406408545	11251.74521573852	10584.57559918562	21355.127300541666	19070.560695913045	11327.10220922721	6090.9809934653385	2904.7900970581877	5051.789875819914	12849.632114231927	23700.167269409372	19940.128987652133	10425.603444840046	16656.751233381394	7432.53228208237	101596.02348430228	17371.808349163693	8016.849827429143	15805.945013466227	11894.7167724793	13059.406215364335	12081.63213589622	43239.79084809086	10528.697412162404	17881.18781384327	11431.737307811894	20603.26725378611	19822.230639031804	11122.559326836443	17710.790541299313	4584.555365827963	9877.629946510104	86695.91052223163	12953.734286456263	50692.93962955294	12987.970549994432	5741.343433189471	7801.027842950931	11732.512998799873	11305.410598791628	10755.452383201256	66290.52931189022	10079.979988676847	10109.82310719234	10107.193669849197	8802.895673595121	9046.395930396462	9197.142508802615	9191.389817259176	11078.109261526668	11217.766081824519	9401.527068807172	7573.9924995309075	11660.943321604558	9749.721930396769	9062.208947025098																																								
2022-05-13	6110.1419052385245	16623.326436663934	13892.360662900603	5820.86554923019	12321.09420649692	68136.89469155409	2742.684869584832	2962.735704476594	29813.830157030017	9005.489089995232	14283.47542424453	28244.094919943585	22873.5622423567	99721.52859992128	11335.756191703344	11662.243160470216	18349.37715818444	10073.19441961786	9469.672385764694	20676.342263343144	16402.069881020256	11794.55324850293	6170.255099278444	2608.1195762539837	4423.661889829517	11966.611506111254	20825.910251776953	18580.21513855838	10284.550636866994	17443.429085494263	7159.429613621027	101875.17697717999	15547.398834999418	7631.330635881259	14368.375631279958	11447.308754650852	11372.787055402961	11271.415834076057	41627.23157385907	9997.741807649052	15298.57053107053	11822.45219300967	19265.487780825857	18773.749510985028	11512.692332801176	16657.435444632094	4531.076035075536	10330.976782445858	84138.93580714276	11316.578033193862	50762.78151792491	12143.926770182181	5526.032690375741	7096.373887088626	10979.362694275855	10126.238225374793	9878.356089069732	65791.70905545169	9581.014690380085	9310.554586241824	9438.13762969367	8311.090164085077	8624.84487952798	7937.873122351178	9172.838003530327	12806.75425349165	10997.365515485842	8305.441062476224	7571.8702850270265	9698.81172746975	8044.074623790191	8744.571177680717	9941.142857142857	9955.285714285714																																						
2022-06-14	5842.703107969193	16127.345895124852	15278.19728694979	5671.414284577893	12321.095646948059	65762.9658373782	2625.672482190008	2957.8366715771717	28020.159231977614	8765.368742455568	13920.548180079864	28113.051696867868	22348.605389177552	96909.72818329677	10955.868085628692	11023.27710174862	18605.511469247016	10152.435978121204	9743.70821444739	20111.373840658438	16352.05902583111	12945.215076974153	6211.722825293636	2374.3544884868397	4366.2143017405415	11821.775137530809	20537.518670950176	18246.09197541727	9935.278146315228	20215.34924834164	6753.687465123761	100199.55301492402	16123.352914236864	7409.196810083996	14457.596429229385	11102.808425244097	11530.372579371506	11964.112149635157	40351.13620017202	9675.243089429672	14760.325862474947	11553.632712795443	20289.546690452367	19512.040487050544	11252.075510685285	16293.922567782825	4539.053868366274	10297.768942810804	83825.01215642529	10960.379386499437	50833.137548238294	11825.381694723863	6457.921259911242	7244.933734296691	10694.217239725775	9762.495518911577	10481.207281452263	62157.49900694757	9457.50202180356	9439.045816950404	10438.156643998747	7749.233095255055	9564.261498303298	8901.065234063266	8936.477728689197	13169.14775062013	10990.620658269421	9233.029210511268	8161.995105619702	9625.371199428298	8979.388096880553	10645.954203196696	9700.857986552475	9608.58632273511	96392.24070450097																																					
